    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x2, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
    009, EVENT_TYPE_MMIO_WRITE, 0x500002c, 0x4, 0x398fdc61
